Company,Growth Margin,Operating Margin,ROE,Forward P/E,PEG,Revenue TTM Growth,FCF Margin,Debt/Equity,Current Ratio,R&D Intensity,Investment Ratio,Growth,Profitability,Valuation,Safety,Stability Score (Rev- Var),Moat Score (G.Margin- Var),R&D Score,Investment Score,Score
Glencore plc,2.4920002,0.6859999999999999,-7.714,10.105715,13.4918,4.264303133579839,0.0,1.29133,1.147944632467582,,40.63066328379848,0.0,0.0,0.5,0.036986158116895484,0.0,0.0,0.0,0.875161808108528,15.4
Umicore SA,7.843,3.497,7.185999999999999,15.623854,0.0,-14.844450973093515,0.0,1.42464,,,77.47013010768457,0.0,0.0,0.8901862424242424,0.0,0.1860717642674925,0.5254662884444723,0.0,1.0,26.7
Bloom Energy Corporation,30.298000000000002,-0.873,4.675,298.3243,4.0741,18.11347905682394,-9.702884223018193,2.5591651936405637,4.991198923940011,10.182244601012954,55.28323320863124,0.3746708301949697,0.0,0.0,0.5,0.8499800515673758,0.010033819937424937,0.30483791770664437,1.0,16.2
Plug Power Inc.,-66.511,-88.263,-83.002996,-5.175439,0.0,17.28393607446856,-120.35188065593756,0.5900845059028021,1.5913509283699026,10.43194679493521,,0.35096960212767314,0.0,1.0,0.35279547914107456,0.0,0.0,0.3195262820550123,0.5,44.1
Ballard Power Systems Inc.,-22.82,-1.53301,-38.035999999999994,-6.142857,0.0,4.259177126866357,-150.43484015419315,0.03730819912382498,9.308733228835617,111.28225308359825,,0.0,0.0,1.0,0.9813459004380876,0.0,0.0,1.0,0.5,39.8
Ceres Power Holdings plc,76.205003,-81.624,-23.259,-0.19888712,0.0,19.021829692418702,0.0,0.020838287752675388,5.368761429017439,193.63327617509893,,0.40062370549767723,0.25,1.0,0.9895808561236623,0.0,0.47404648932927673,1.0,0.5,59.4
thyssenkrupp nucera AG & Co. KGaA,11.6809994,0.0,2.1420000000000003,188.5,0.0,-3.890029485235848,-1.0148285449490269,0.038461538461538464,2.4831460674157304,3.878204657951348,102.86123469192499,0.0,0.0,0.0,0.8515557476231634,0.6831736655451257,0.2913937278185714,0.0,1.0,8.5
Nel ASA,58.539003,-87.926,-9.804,-11.799999,0.0,-26.54501474487377,-52.327799795481255,0.05076968490285939,3.54385602487418,1.427981249844712,,0.0,0.15449169166666668,1.0,0.9746151575485703,0.47241504013261215,0.5405530657139397,0.0,0.5,44.4
ITM Power Plc,-90.96,-73.04399599999999,-18.465999999999998,-0.15736738,0.0,66.64336305106373,0.0,0.05498651089161891,3.0685535747105313,,,1.0,0.0,1.0,0.9725067445541906,0.17448118132065982,0.0,0.0,0.5,69.7
Siemens Energy AG,15.611,4.269,11.66,115.33708,1.3346,9.512098201319356,8.779057114134996,0.36648177496038037,0.9017842833484695,3.3680330542684906,37.419262196594225,0.12891709146626731,0.045325475951124974,0.41635,0.3167591125198098,0.6846696922786097,0.09309788698078993,0.0,0.7834074913312635,20.9
Carrier Global Corporation,26.915001999999998,14.297,11.376999999999999,19.026316,15.3866,2.993999272373957,5.322243109991842,0.8083095335237318,1.1663047643377187,2.8251732979558475,37.325456888573676,0.0,0.014160359249932005,0.39354066666666665,0.13742142432256377,0.0,0.9725048000853554,0.0,0.7807273396735336,13.6
Trane Technologies plc,36.256,20.187001,39.078,33.665615,2.6744,9.377378588440667,11.166666347628173,0.5890837609455976,1.1039665847954936,0.0,12.924176551643807,0.12506795966973336,0.3369305612302348,0.2531331060606061,0.23144976572607462,1.0,0.9737197104037433,0.0,0.08354790147553735,23.8
Johnson Controls International plc,36.360002,13.665,11.652999999999999,26.954655,1.4365,1.522117146446717,12.245528573505888,0.6502210991787745,0.9594331983805668,0.0,16.918340207186727,0.0,0.07415440477921573,0.6642893181818181,0.17488945041061277,0.0,0.7250406889012526,0.0,0.1976668630624779,23.9
"Daikin Industries,Ltd.",34.624,9.993,10.262,18.874022,2.0499,15.192403360674867,0.0,0.35175600152985587,1.8493629811664842,,53.92975928661493,0.2912115245907105,0.002183333333333337,0.6333731515151515,0.5364627445266932,0.6640707439718438,0.4,0.0,1.0,33.2
Mitsubishi Electric Corporation,31.266,8.529,0.0,24.766865,2.3145,7.243262653097049,0.0,0.09131402610541922,2.0289529834128213,,32.759251751866515,0.06409321865991569,0.0,0.47793765151515155,0.7115812328004957,0.8063388764195453,0.4,0.0,0.6502643357676147,23.4
Voltas Limited,22.722,4.064,0.0,42.440178,0.0,-6.6499225848004295,0.0,0.13694699266879054,1.4782982266255933,0.0,75.6882322569839,0.0,0.0,0.07757036363636349,0.551101060322003,1.0,0.8171712697035101,0.0,1.0,7.8
Blue Star Limited,23.477,5.3189997,0.0,79.08909,0.0,10.498649441306313,0.0,0.12430587728628198,1.2767540586401962,0.0,148.1560662747194,0.15710426975160893,0.0,0.0,0.5070355760169081,1.0,0.8455378647736527,0.0,1.0,9.8
"Ormat Technologies, Inc.",28.936002,13.699000999999999,5.301,47.262222,3.8214,9.884366483052743,-17.707985299031073,1.0959153580419647,0.6964906470172826,0.7852370553073322,147.8446732299571,0.1395533280872212,0.0,0.0,0.0,0.9534520093850025,0.6853348187548833,0.0,1.0,4.2
Neste Oyj,9.228,0.466,-2.5700000000000003,16.318584,0.0,1.2659815739290485,2.3565984757320497,0.7442896935933148,1.909367602299628,0.0,93.2229615805004,0.0,0.0,0.8691338181818181,0.3551970537782496,0.0,0.15036191958984538,0.0,1.0,29.6
